,cmte_id,amndt_ind,rpt_tp,transaction_pgi,transaction_tp,entity_tp,city,state,zip_code,employer,occupation,transaction_dt,transaction_amt,file_num
1079858,C00034157,N,M5,Desconhecido,15,IND,MINNEAPOLIS,MN,55439.0,missing,retired,2012-04-01,6.030685260261263,783390.0
1346510,C00505552,A,30G,G,15E,IND,BETHESDA,MD,20816.0,missing,retired,2012-11-04,5.521460917862246,857344.0
8888,C00328211,N,Q1,P,15,IND,CHEVY CHASE,MD,20815,missing,retired,2011-03-15,6.907755278982137,726710.0
2502508,C00506931,A,12C,C,15,IND,ARLINGTON,VA,22203.0,missing,retired,2012-01-25,6.907755278982137,850871.0
1128381,C00476564,N,Q2,P,15,IND,WASHINGTON,DC,20003.0,missing,retired,2012-06-21,5.521460917862246,798378.0
2678445,C00351635,N,M2,Desconhecido,15,IND,CLEVELAND,OH,44114.0,missing,retired,2012-01-10,7.24422751560335,767054.0
1480297,C00503409,A,12G,G,15,IND,OSHKOSH,WI,54902.0,missing,retired,2012-10-17,5.521460917862246,843257.0
2320253,C00500843,A,Q2,P,15E,IND,FOX RIVER GROVE,IL,60021.0,missing,retired,2012-05-02,6.907755278982137,804029.0
1897789,C00431445,A,M2,P,15,IND,CASTRO VALLEY,CA,94552,missing,retired,2012-01-26,5.521460917862246,896750.0
1917257,C00431445,A,M3,P,15,IND,PASADENA,CA,911032462.0,missing,retired,2012-02-06,5.521460917862246,896754.0
2956971,C00042366,A,M6,Desconhecido,15,IND,CAMBRIDGE,MA,2138.0,retired,retired,2012-05-01,5.521460917862246,792626.0
1529392,C00431171,A,M6,P,15,IND,PARADISE VLY,AZ,85253,missing,retired,2012-05-01,6.214608098422191,944813.0
155504,C00494617,N,Q3,Desconhecido,15,IND,BEVERLY HILLS,CA,90210.0,missing,retired,2011-09-02,7.600902459542082,751151.0
2399100,C00511568,A,Q3,G,15,IND,HOBE SOUND,FL,33452.0,missing,retired,2012-09-27,7.824046010856292,822811.0
1839514,C00494740,A,M7,P,15,IND,ATLANTA,GA,30303.0,missing,retired,2012-06-01,6.907755278982137,873011.0
1987602,C00431445,A,M9,P,15,IND,SEBASTOPOL,CA,95472.0,missing,retired,2012-08-31,5.521460917862246,897073.0
1996256,C00431445,A,M9,G,15,IND,GURNEE,IL,60031.0,missing,retired,2012-08-27,6.396929655216146,897073.0
1671750,C00431171,A,M5,P,15,IND,LOS GATOS,CA,95032.0,missing,retired,2012-04-10,5.521460917862246,944275.0
2709984,C00375618,N,12P,P,15,IND,BETHESDA,MD,20817.0,missing,retired,2012-04-24,6.214608098422191,790224.0
